article_title,venue,article_link,cluster_id,support,support_fraction,models_present,actionable,impact,evidence,avg_confidence,centroid_confidence,SOUND,PRECISE,CATEGORY
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,5,2,2/5,gpt|mixtral,Include file/class level context elements when generating code transformation pairs for finetuning.,Including additional class/file-level context information with the focal method results in a higher quality predictions in such code generation tasks.,"Prior work has shown that including using statements, class attributes, caller-callee methods, and method signatures as contextual information improves the quality of predictions in code generation tasks. This is because performance changes often require changes beyond the focal method itself, such as adding new class level attributes/methods or additional imports, or even changes to other methods within the class that make calls to or are called by the focal method.",0.925,0.95,YES,YES,Code Standards and Maintainability
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,6,2,2/5,gpt|mixtral,Finetune a pretrained model on examples from all commits before finetuning on performance commit examples.,"This two-step finetuning process allows the model to learn better representations for code by seeing more examples of how changes are made by developers, and also helps it learn patterns of changes that involve performance optimization.",The first finetuning step teaches the model how C# developers make changes in general by finetuning a pretrained transformer model on examples from all commits. This results in a model (DeepDev-C#) that can generate code transformations that are more likely to be correct and performant. The second finetuning step then teaches the model specifically how to make performance optimization changes using examples extracted from performance commits.,0.925,0.95,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,18,2,2/5,deepseek|gpt,Use a threshold of 10-15% improvement in memory or test times as a practical benchmark for meaningful performance gains.,provides realistic expectation of improvement.,We see that DeepDev-PERF’s suggestions typically provide 10-15% improvement in terms of both allocations and test duration.,0.925,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,11,2,2/5,deepseek|gpt,Remove redundant array allocations when iterating over strings by using string indexing directly.,fewer allocations and improved CPU usage.,"DeepDev-PERF notices that the array allocation is redundant as C# strings can be indexed directly. Therefore, it removes the redundant allocation and replaces the usages of the array with the original string.",0.875,0.9,YES,YES,Code Standards and Maintainability
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,2,2,2/5,gpt|qwen,Generate additional unit test cases to supplement user-provided tests when validating model-generated performance optimizations.,Reduces false positives where incorrect suggestions pass inadequate test suites due to insufficient method-specific coverage.,"In the in-the-wild evaluation, 13 out of 41 methods yielded invalid suggestions that passed unit tests because the existing tests did not specifically cover the modified methods.",0.825,0.75,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,1,2,2/5,gpt|qwen,"Include extended context, such as additional methods or cross-file information, when generating code transformations to minimize compilation errors.",Resolves a significant portion of build failures caused by undefined identifiers and incorrect argument passing during automated patch generation.,"Undefined identifiers and incorrect arguments accounted for 46.7% and 35.1% of compilation errors, respectively, in the evaluation of 20,100 suggestions across 50 repositories.",0.8,0.8,YES,YES,Code Standards and Maintainability
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,7,1,1/5,gpt,Add a [MemoryDiagnoser] attribute to the class containing the benchmarks to enable memory tracking.,enables accurate measurement of memory allocations during benchmark runs.,"For 22 out of the test repos, we found that memory tracking wasn’t enabled and we had to enable it ourselves by adding a [MemoryDiagnoser] attribute to the class containing the benchmarks.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,8,1,1/5,gpt,Add seeds to instances of random number generators in benchmark code to ensure deterministic tests.,ensures benchmark results are reproducible and comparable.,We add seeds to instances of random number generators instantiated in the benchmarking code.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,10,1,1/5,gpt,Unroll LINQ queries to explicit for-loops to reduce allocations.,"reduces allocations and Gen 0 GC, improving performance.","DeepDev-PERF recognizes that the use of LINQ call to skip the first position is unnecessary and recommends unrolling the LINQ query to an explicit for-loop, which starts indexing from 1.",0.9,0.9,YES,YES,Code Standards and Maintainability
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,12,1,1/5,gpt,Use benchmark tests to measure performance improvements and compare against baseline.,provides measurable performance gains.,We run the benchmark test in a sterile work environment with minimal workload other than the test itself. We first run the benchmark tests without any changes to measure the baseline performance of the application and then once after applying each of the changes that passed unit testing.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,13,1,1/5,gpt,Use a dataset of performance commits with performance-related keywords to train the model.,focuses training on relevant examples.,"For each commit, we look for performance-related keywords (""perf"", ""performance"", ""reduce allocation"", etc.) in the commit message to determine if its performance-related.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,14,1,1/5,gpt,Use a token window of 1024 tokens and incrementally add contextual elements until the limit is reached.,maximizes context within token limit.,"We construct the example input in an iterative fashion. We start by including the focal method in the example input and then incrementally add each contextual element in the list above. Before adding each type of contextual elements, we ensure that the resulting sequence will be within the allowed range of tokens.",0.9,0.9,YES,YES,NONE
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,15,1,1/5,gpt,Use a benchmark suite that tracks allocations and GC metrics to evaluate performance improvements.,provides metrics to assess improvements.,"Benchmark tests in C# are usually written using the BenchmarkDotNet library. ... BenchmarkDotNet automatically runs each benchmark test ... reports metrics like sample mean, std. deviation, median, first and third quartile of test duration. For allocations, it reports the avg. memory allocated on each run.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,16,1,1/5,gpt,Use a one-tailed Welch’s t-test at 5% significance level to determine if the population mean of suggestion is lower than baseline.,statistically validates performance improvements.,We conduct a one-tailed Welch’s t-test at 5% significance level to determine if the population mean of suggestion code’s sample is less than the population mean of the baseline.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,17,1,1/5,gpt,Use Tukey fence criteria to ensure improvement is significant and not due to outliers.,reduces false positives.,"We consider a suggestion to be a significant performance improvement over the baseline, if the suggestion’s upper Tukey fence is found to be lower than the baseline’s lower Tukey fence.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**DeepDev-PERF: A Deep Learning-Based Approach for Improving Software Performance**,FSE/FSE 22/19.pdf,https://doi.org/,9,1,1/5,gpt,Generate additional unit tests or use differential testing or program verification to reduce false positives.,"reduces false positives, ensuring only correct patches are accepted.",One could also use techniques like differential testing or program verification techniques to perform further filtration of incorrect suggestions.,0.8,0.8,YES,YES,Automated Testing and Quality Assurance
and a BugSwarm: Mining Continuously Growing Dataset of Reproducible Failures and Fixes,ICSE/ICSE 19/20.pdf,http://www.bugswarm.org.,2,2,2/5,deepseek|mixtral,"Leverage archived CI log records to create detailed artifacts, including buggy code versions, failing regression tests, and bug fixes.",Can help reproduce and analyze failures in a controlled environment for debugging and improvement purposes.,"The BUGSWARM dataset contains 3,091 artifacts with detailed information about build configurations and test results.",0.925,0.95,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
and a BugSwarm: Mining Continuously Growing Dataset of Reproducible Failures and Fixes,ICSE/ICSE 19/20.pdf,http://www.bugswarm.org.,3,2,2/5,deepseek|mixtral,Automate the process of reproducing fail-pass pairs in DOCKER containers using project customization scripts from TRAVIS-CI builds.,"Can help maintain currency and augment diversity in a large, growing dataset of reproducible defects.","The BUGSWARM toolkit uses this approach to create a dataset of 3,091 artifacts for Java and Python projects.",0.9,0.95,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
and a BugSwarm: Mining Continuously Growing Dataset of Reproducible Failures and Fixes,ICSE/ICSE 19/20.pdf,http://www.bugswarm.org.,1,2,2/5,deepseek|mixtral,Use TRAVIS-CI for continuous integration testing in GITHUB projects.,"Can help automatically create a large-scale, diverse, and current dataset of reproducible defects with less human effort.","The BUGSWARM toolkit has gathered 3,091 fail-pass pairs in Java and Python from TRAVIS-CI builds in GITHUB projects.",0.85,0.95,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
and a BugSwarm: Mining Continuously Growing Dataset of Reproducible Failures and Fixes,ICSE/ICSE 19/20.pdf,http://www.bugswarm.org.,4,1,1/5,deepseek,Crowdsource maintenance of the dataset.,Distributes maintenance burden and improves sustainability.,Proposed in Section V to enhance maintainability.,0.85,0.85,YES,NO,Community Collaboration and Engagement
and a BugSwarm: Mining Continuously Growing Dataset of Reproducible Failures and Fixes,ICSE/ICSE 19/20.pdf,http://www.bugswarm.org.,5,1,1/5,deepseek,Implement measures to handle stale URLs and network issues during reproduction.,Reduces unreproducibility caused by dependency problems.,60% of unreproducible pairs due to such issues (Table V).,0.8,0.8,YES,NO,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
When and Why Your Code Starts to Smell Bad,ICSE/ICSE 15/4.pdf,https://github.com/eclipse,2,4,4/5,deepseek|gpt|mixtral|qwen,Build and deploy recommendation systems that alert developers when changes to a specific code component exhibit dangerous quality metric trends.,Enable early detection and prevention of bad smells during ongoing maintenance and evolution activities.,"Analysis of 9,164 smell-introducing commits revealed that files destined to become smelly exhibit significantly steeper growth rates in metrics like LOC, LCOM, WMC, RFC, and NOM compared to clean files (Cliff's d ≥ 0.32).",0.9175,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | CI/CD and DevOps Automation
When and Why Your Code Starts to Smell Bad,ICSE/ICSE 15/4.pdf,https://github.com/eclipse,1,3,3/5,deepseek|gpt|qwen|gemma,"Perform quality checks at commit time using smell detectors, especially before releases, to prevent the introduction of bad smells.","Reduces the introduction of bad smells, improves maintainability, and lowers maintenance effort.","The study found that most smell instances are introduced when files are created, and that 60–66% of smell‑introducing commits are enhancements or new features, indicating that performing quality checks at commit time can prevent many smells.",0.9333,0.95,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | CI/CD and DevOps Automation
When and Why Your Code Starts to Smell Bad,ICSE/ICSE 15/4.pdf,https://github.com/eclipse,4,3,3/5,deepseek|gpt|qwen|gemma,Strengthen code inspections when developers are under high workload or nearing deadlines.,"Decrease the likelihood of introducing bad smells during stressful periods, as high workload developers were more prone to introducing smells.",High workload developers introduced 60% of smell-introducing commits overall.,0.8867,0.85,YES,NO,Code Standards and Maintainability | Project Management and Governance
When and Why Your Code Starts to Smell Bad,ICSE/ICSE 15/4.pdf,https://github.com/eclipse,3,3,3/5,deepseek|gpt|qwen,Use techniques or tools to assess the impact of refactoring operations on source code before applying them.,"Reduces accidental introduction of smells during refactoring, leading to cleaner code and lower maintenance burden.","The study identified almost 400 cases where refactoring operations introduced new smells, demonstrating the need for tools that assess refactoring impact before application.",0.8767,0.93,YES,NO,Code Standards and Maintainability | Automated Testing and Quality Assurance
13,ICSE/ICSE 15/13.pdf,http://sv-comp.sosylab.org/2014/.”,1,4,4/5,deepseek|gpt|mixtral|qwen,Use selective interleaving exploration strategies such as PCB or HaPSet instead of exhaustive DPOR to reduce runtime overhead while maintaining invariant quality.,Reduces execution time and number of incorrect invariants.,Table III shows HaPSet and PCB produce fewer incorrect invariants and lower runtime compared to DPOR.,0.9375,0.95,YES,YES,Automated Testing and Quality Assurance
13,ICSE/ICSE 15/13.pdf,http://sv-comp.sosylab.org/2014/.”,3,4,4/5,deepseek|gpt|mixtral|qwen,"Implement a trace classification step that separates execution traces into passing and failing sets using explicit test oracles (e.g., R_assert()) before feeding them to the invariant inference engine.",Prevents confusing results from mixed traces and enables developers to identify discrepancies that reveal root causes of concurrency failures.,"Section IV.C demonstrates that comparing invariants from passing versus failing traces correctly identifies atomicity violations and data races in motivating examples (Figures 3, 6, 9).",0.92,0.95,YES,YES,Automated Testing and Quality Assurance
13,ICSE/ICSE 15/13.pdf,http://sv-comp.sosylab.org/2014/.”,2,3,3/5,deepseek|gpt|qwen,Focus invariant generation exclusively on transition invariants over shared variables rather than collecting all possible state and transition invariants.,Presents users with a more manageable output that concisely summarizes concurrency behavior and filters out irrelevant sequential invariants.,"Table II shows transition invariants constitute only 13-42% of total invariants, yet Section V.B states they effectively capture non-interference properties needed for debugging without overwhelming the user.",0.9333,0.9,YES,YES,Automated Testing and Quality Assurance
13,ICSE/ICSE 15/13.pdf,http://sv-comp.sosylab.org/2014/.”,4,2,2/5,gpt|qwen,Instrument program code at the boundaries of arbitrary-sized code blocks rather than limiting instrumentation to function entry and exit points.,"Captures concurrency constructs and intended atomic regions that rarely align with procedural boundaries, enabling accurate inference of developer intent.","Section IV.A and Figure 6 illustrate that block-level instrumentation successfully infers intended atomic regions spanning multiple lines (Lines 6-12), which function-level analysis misses.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
13,ICSE/ICSE 15/13.pdf,http://sv-comp.sosylab.org/2014/.”,5,2,2/5,deepseek|gpt,"Use the LLVM-based instrumentation front end to instrument code at function entry/exit and arbitrary block boundaries, reducing runtime overhead compared to Valgrind-based instrumentation.",Speeds up dynamic analysis by up to five times.,Section III.A and Section V state that the LLVM front end provides a five times speedup over the previous Daikon front end.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance
13,ICSE/ICSE 15/13.pdf,http://sv-comp.sosylab.org/2014/.”,6,1,1/5,gpt,"Use the new method to infer atomic code regions by comparing invariants from passing and failing traces, and enforce atomicity around critical sections (e.g., wrap getBalance() and setBalance() calls with atomicity).",Helps identify and fix atomicity violations.,Section V.B and Figure 5 illustrate inferring atomic regions and enforcing atomicity.,0.95,0.95,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
9,ICSE/ICSE 19/9.pdf,http://www.sciencedirect.com/science/article/pii/S016412121200338X,1,2,2/5,deepseek|mixtral,Perform Release Planning and Tracking activities for software ecosystem releases.,"Ensures that release goals are clear, milestones are set, and progress is monitored.",Studied in the context of software engineering and relatively easy to translate to software ecosystems.,0.925,0.9,YES,NO,Project Management and Governance
9,ICSE/ICSE 19/9.pdf,http://www.sciencedirect.com/science/article/pii/S016412121200338X,2,2,2/5,deepseek|mixtral,Manage Dependency Management for software ecosystem releases.,"Helps minimize integration issues, improves compatibility between projects, and reduces end-user frustration.",Studied in the context of software engineering and relatively easy to translate to software ecosystems.,0.875,0.9,YES,NO,Code Standards and Maintainability | Project Management and Governance | Security Best Practices and Legal Compliance | CI/CD and DevOps Automation
9,ICSE/ICSE 19/9.pdf,http://www.sciencedirect.com/science/article/pii/S016412121200338X,3,2,2/5,deepseek|mixtral,Implement Release Stabilization activities for software ecosystem releases.,"Improves overall release quality, reduces bugs and issues, and enhances user experience.",Studied in the context of software engineering and relatively easy to translate to software ecosystems.,0.85,0.9,YES,NO,Automated Testing and Quality Assurance | Project Management and Governance | CI/CD and DevOps Automation
9,ICSE/ICSE 19/9.pdf,http://www.sciencedirect.com/science/article/pii/S016412121200338X,4,2,2/5,deepseek|mixtral,Perform Deliverable Consolidation for software ecosystem releases.,"Integrates artifacts of multiple projects into one central artifact, improving user experience and reducing confusion.",Identified as a unique activity in software ecosystems requiring deeper investigation.,0.85,0.8,YES,NO,Project Management and Governance | CI/CD and DevOps Automation
9,ICSE/ICSE 19/9.pdf,http://www.sciencedirect.com/science/article/pii/S016412121200338X,5,1,1/5,deepseek,Implement automation management for release processes.,Streamlines repetitive tasks and reduces human error during synchronization.,Automation Management was a key activity in OpenStack's release process with 80-84% distribution across releases.,0.9,0.9,YES,NO,CI/CD and DevOps Automation
1,ICSE/ICSE 05/1.pdf,NOT FOUND,1,2,2/5,mixtral|qwen,Adopt a participatory usability approach that actively coordinates non-technical end users and developers in a continuously evolving redesign process.,Addresses the challenge of creating usable interfaces for non-technical end-users in distributed OSS environments where conventional co-located methods do not apply.,NO EVIDENCE FOUND,0.8,0.75,YES,NO,Community Collaboration and Engagement
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,2,3,3/5,deepseek|gpt|qwen|gemma,"Release wake locks immediately when the protected critical computation completes or pauses, rather than holding them throughout the entire component lifecycle.",Prevents unnecessary device wakeup and significant battery energy waste.,Analysis of the TomaHawk app showed that releasing the wake lock only during active music playback (instead of the whole activity lifecycle) fixed an unnecessary wakeup issue causing energy waste.,0.925,0.9,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,3,3,3/5,deepseek|gpt|qwen|gemma,"Ensure wake locks are released on all possible program paths, including error or cancellation callbacks, to prevent resource leaks.",Prevents the device from staying awake indefinitely and avoids significant energy waste.,Investigation of the MyTracks app revealed a wake lock leakage when users cancelled an export task; moving the release operation to the doInBackground() callback fixed the issue.,0.9167,0.9,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,1,3,3/5,deepseek|gpt|qwen|gemma,"Carefully evaluate the necessity, required hardware components, and precise timing for acquiring and releasing wake locks before implementation.",Avoids energy waste and functional or non-functional issues caused by misuses.,"The study found that 61.3% of 31 popular open-source Android apps suffered from issues due to wake lock misuses, and unnecessary wake locks cause serious energy waste.",0.9,0.9,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,5,2,2/5,gpt|qwen|gemma,Use static analysis techniques that perform dataflow analysis to automatically reason about wake lock necessity at various program points instead of relying on pre-defined acquisition or release rules.,Effectively detects common wake lock misuse patterns without generating false alarms.,"The proposed Elite technique detected 5 out of 6 real issues with zero false positives, outperforming existing techniques that relied on rigid assumptions about lifecycle handlers.",0.925,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,9,2,2/5,deepseek|gpt,Use a screen dim wake lock instead of a partial wake lock for phone calls.,Improves call quality by keeping WiFi active.,SipDroid switched to screen dim wake lock to improve call quality.,0.925,0.95,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,4,2,2/5,gpt|qwen|gemma,"Select the lowest necessary wake lock type that matches the specific hardware components required for the computation, and set appropriate timeouts.",Reduces unnecessary power consumption while maintaining functionality.,"The Osmand app wasted battery by using a screen dim wake lock for location sensing; replacing it with a partial wake lock saved energy. Similarly, K-9 Mail fixed intermittent email failures by adjusting a problematic 30-second timeout to 10 minutes.",0.9167,0.85,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,6,2,2/5,deepseek|gpt|gemma,Declare the android.permission.WAKE_LOCK permission in the app manifest.,Prevents crashes caused by missing wake lock permission.,Firefox crashed due to missing WAKE_LOCK permission.,0.9,0.95,YES,YES,Security Best Practices and Legal Compliance
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,7,2,2/5,deepseek|gpt|gemma,Avoid multiple lock acquisitions on the same wake lock.,Prevents crashes caused by exceeding the wake lock acquisition limit.,CSipSimple crashed after acquiring the wake lock too many times.,0.9,0.95,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,8,2,2/5,deepseek|gpt|gemma,Avoid setting the ON_AFTER_RELEASE flag when using a screen bright wake lock.,Reduces energy waste caused by prolonged screen brightness after wake lock release.,FBReader removed the flag to fix energy waste issue.,0.875,0.95,YES,YES,Code Standards and Maintainability
**Understanding and Detecting Wake Lock Misuses for Android Applications**,FSE/FSE 16/7.pdf,http://dx.doi.org/10.1145/2950290.2950297,10,2,2/5,deepseek|gpt|gemma,Set an appropriate timeout for wake locks to avoid premature expiration.,Prevents failures due to wake lock timeout.,K-9 Mail increased timeout from 30s to 10min to fix email sync failures.,0.875,0.95,YES,YES,Code Standards and Maintainability
Detection and Repair of Architectural Inconsistencies in Java,ICSE/ICSE 19/24.pdf,http://doi.acm.org/10.1145/581339.581365,1,4,4/5,deepseek|gpt|mixtral|qwen,Use DARCY to automatically detect and repair inconsistent dependencies in Java‑9 applications.,"Reduces the attack surface by 60.33% on average, improves encapsulation by 23.03% on average, and reduces runtime memory usage by 14.02% on average.","DARCY found 124 instances of inconsistencies among 38 Java applications; after repair, attack surface reduced by 60.33%, encapsulation improved by 23.03%, and deployable applications consumed 14.02% less memory.",0.9625,1.0,YES,YES,Code Standards and Maintainability | CI/CD and DevOps Automation
Detection and Repair of Architectural Inconsistencies in Java,ICSE/ICSE 19/24.pdf,http://doi.acm.org/10.1145/581339.581365,3,2,2/5,gpt|qwen,Eliminate inconsistent requires JDK dependencies to reduce software bloat and enable lightweight custom JREs.,"Lowers runtime memory requirements, improving scalability for deployment in resource-constrained environments like microservices or IoT devices.",Removing these dependencies reduced runtime memory by an average of 14.02% (up to 55%) in evaluated applications.,0.975,0.95,YES,YES,Code Standards and Maintainability | CI/CD and DevOps Automation
Detection and Repair of Architectural Inconsistencies in Java,ICSE/ICSE 19/24.pdf,http://doi.acm.org/10.1145/581339.581365,2,1,1/5,qwen,Remove unnecessary exports and opens directives from module-info.java files to minimize externally accessible packages.,Curtails security risks by reducing the system's attack surface.,DARCY achieved an average attack-surface reduction of 60.33% across 25 applications by eliminating unnecessary exports and opens directives.,0.95,0.95,YES,YES,Code Standards and Maintainability | Security Best Practices and Legal Compliance
Detection and Repair of Architectural Inconsistencies in Java,ICSE/ICSE 19/24.pdf,http://doi.acm.org/10.1145/581339.581365,4,1,1/5,qwen,Review automated repair warnings and override changes when they conflict with intentional architectural designs.,Prevents unintended modifications that may break intended library exports or reflective access patterns.,"The authors note that developers may intentionally export packages or allow reflective access, so DARCY warns users and allows overrides prior to applying repairs.",0.85,0.85,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | CI/CD and DevOps Automation
8,ICSE/ICSE 06/8.pdf,NOT FOUND,2,4,4/5,deepseek|gpt|mixtral|qwen,"Use a Support Vector Machine algorithm with the bug description, product component, and a list of actively contributing developers to create a recommender for Firefox or Eclipse bug assignment.","Increased precision in bug report assignments, reducing average time taken and number of incorrect assignments.",Precision levels of 64% for Firefox and 86% for Eclipse in previous work.,0.9125,0.95,YES,YES,Project Management and Governance
8,ICSE/ICSE 06/8.pdf,NOT FOUND,1,3,3/5,deepseek|mixtral|qwen,Adopt a semi-automated approach for assigning bug reports using recommendation algorithms.,Reduces the average time taken to triage a bug and reduces the number of incorrect assignments made by triagers.,The proposed solution demonstrates 64% precision for Firefox and 86% precision for Eclipse when using a Support Vector Machine algorithm with specific information types.,0.8833,0.95,YES,YES,Project Management and Governance
8,ICSE/ICSE 06/8.pdf,NOT FOUND,3,1,1/5,deepseek,Evaluate the effectiveness of bug assignment recommenders by measuring triage time and reassignment rates before and after implementation.,Helps determine if the tool reduces triage time and improves assignment accuracy.,The evaluation plan includes collecting baseline data and comparing metrics during two phases to assess impact.,0.85,0.85,YES,YES,Project Management and Governance
28,FSE/FSE 22/28.pdf,https://doi.org/10.1145/3540250.3560882,3,3,3/5,gpt|mixtral|qwen,"Maintainers should not introduce critical security vulnerabilities or destructive functionality into their libraries, even as a form of protest.",Prevents unintended harm to library users and maintains trust in the open source community.,"Case 1 describes a maintainer who introduced a critical security vulnerability that overwrote arbitrary files on users' systems, causing frustration and concern within the community. This behavior is not an acceptable way to communicate political messages or engage in protest.",0.8833,0.95,YES,YES,Security Best Practices and Legal Compliance
28,FSE/FSE 22/28.pdf,https://doi.org/10.1145/3540250.3560882,1,3,3/5,gpt|mixtral|qwen,"Maintainers should consider alternative methods for expressing political views that do not harm their libraries, users, or the open source community as a whole.",Allows maintainers to exercise free speech while minimizing negative consequences for others.,Case 2 presents examples of benign protestware that aims to increase awareness without causing harm. This demonstrates that there are alternative ways for maintainers to express their views within the context of open source software development.,0.8667,0.9,YES,NO,Community Collaboration and Engagement | Project Management and Governance
28,FSE/FSE 22/28.pdf,https://doi.org/10.1145/3540250.3560882,4,2,2/5,gpt|qwen,"Lock project dependencies to specific, code-reviewed versions when a library exhibits unwanted or politically motivated behavior.",Prevents the automatic inclusion of disruptive updates and protects users from unintended consequences.,A maintainer explicitly advised users to lock their dependencies to a version they have personally code reviewed and deemed acceptable [9].,0.9,0.9,YES,YES,Code Standards and Maintainability | Security Best Practices and Legal Compliance
28,FSE/FSE 22/28.pdf,https://doi.org/10.1145/3540250.3560882,2,2,2/5,mixtral|qwen,Introduce redundancies into software supply chains.,Increases overall resilience against supply chain attacks and politically motivated code changes.,The article lists introducing redundancies into supply chains as a manual effort to increase supply chain resilience [15].,0.825,0.8,YES,NO,Security Best Practices and Legal Compliance
8,ICSE/ICSE 19/8.pdf,https://youtu.be/436drvWvbEU.,1,4,4/5,deepseek|gpt|mixtral|qwen|gemma,"Use ARepair, an open-source command-line tool, to repair faulty Alloy models.",Improves the sustainability and correctness of Alloy models by automatically fixing bugs.,ARepair successfully fixed 28 out of 38 real-world faulty models in experiments.,0.92,0.9,YES,YES,Automated Testing and Quality Assurance
8,ICSE/ICSE 19/8.pdf,https://youtu.be/436drvWvbEU.,3,3,3/5,gpt|mixtral|qwen|gemma,Execute ARepair using both the all-combinations (AC) and base-choice (BC) search strategies rather than relying on a single approach.,Maximizes the number of faulty models successfully repaired by compensating for each strategy's individual limitations.,"AC fixes 24 models while BC fixes 26, but combining both allows ARepair to fix 28 out of 38 real-world faulty models.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
8,ICSE/ICSE 19/8.pdf,https://youtu.be/436drvWvbEU.,4,2,2/5,deepseek|gpt|gemma,Specify the AUnit test suite path using the '-t' argument when running ARepair.,Provides the test suite for fault localization and validation.,"The '-t,--test-path' argument is required. Pass the AUnit test suite which capture the desired properties of the expected model as the argument.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
8,ICSE/ICSE 19/8.pdf,https://youtu.be/436drvWvbEU.,2,2,2/5,gpt|qwen,Enable the --enable-cache flag during execution to activate hierarchical caching for formula evaluation.,Reduces the number of expensive evaluator calls and accelerates the repair process for most cases.,"The authors report that 'In practice, we observe speed-ups for a majority of the repair problems' when utilizing this caching mechanism.",0.775,0.85,YES,YES,CI/CD and DevOps Automation
8,ICSE/ICSE 19/8.pdf,https://youtu.be/436drvWvbEU.,5,1,1/5,gpt|gemma,Specify the minimum cost using the '-c' argument when running ARepair.,Controls the minimum size of expressions generated for patches.,"The '-c,--minimum-cost' argument is required. Pass the minimum size of the expression to generate as the argument. RexGen will generate expressions of the specified size for the deepest level of the suspicious AST.",0.9,0.9,YES,YES,NONE
